,Zipcode,Borough,Price,Rent,LAT,LNG
97,11367,Queens,275766.0,2114.0,40.730145,-73.82703000000002
98,11368,Queens,308319.0,2173.0,40.751718,-73.851822
99,11369,Queens,288378.0,2175.0,40.763365,-73.872374
100,11370,Queens,441447.0,2202.0,40.765393,-73.893243
101,11372,Queens,418181.0,2086.0,40.75169,-73.883638
102,11373,Queens,353179.0,2105.0,40.738837,-73.878535
103,11374,Queens,357687.0,2088.0,40.726418,-73.861526
104,11375,Queens,362824.0,2142.0,40.720934,-73.846151
105,11377,Queens,358343.0,2142.0,40.744819,-73.905156
106,11378,Queens,326039.0,2162.0,40.724744,-73.909639
107,11379,Queens,458021.0,2168.0,40.716748,-73.879601
108,11385,Queens,459420.0,2200.0,40.700671,-73.889433
109,11411,Queens,548044.0,2260.0,40.694021,-73.736216
110,11412,Queens,524572.0,2271.0,40.698095,-73.758986
111,11414,Queens,228890.0,2183.0,40.657604,-73.84480400000002
112,11415,Queens,274484.0,2035.0,40.707917,-73.828212
113,11416,Queens,137368.0,2214.0,40.684654,-73.849548
114,11417,Queens,438030.0,2163.0,40.676446,-73.844443
115,11418,Queens,340785.0,2127.0,40.700272,-73.835971
116,11420,Queens,444773.0,2238.0,40.673583,-73.81773000000003
117,11421,Queens,272397.0,2140.0,40.694062,-73.858626
118,11422,Queens,177377.0,2257.0,40.66006,-73.736012
119,11423,Queens,194040.0,2165.0,40.715606,-73.76847099999998
120,11426,Queens,248709.0,2132.0,40.736425,-73.722376
121,11427,Queens,241381.0,2151.0,40.730904,-73.745661
122,11429,Queens,514840.0,2197.0,40.709766,-73.738653
123,11432,Queens,178019.0,2034.0,40.715359,-73.793071
124,11435,Queens,242248.0,2009.0,40.701265,-73.809605
125,11436,Queens,497264.0,2255.0,40.675807,-73.796622
126,11691,Queens,300490.0,2181.0,40.601278,-73.761651
127,11697,Queens,392854.0,2174.0,40.555688,-73.920663
