,Zip,Latitude,Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,10001,40.750633,-73.99717700000002,Bluestone Lane,40.7520681,-73.9988477,Coffee Shop
1,10001,40.750633,-73.99717700000002,You Should Be Dancing…..! / Club 412,40.75030643797371,-73.99474277021865,Dance Studio
2,10001,40.750633,-73.99717700000002,New York Pizza Suprema,40.750124384298815,-73.99499165569237,Pizza Place
3,10001,40.750633,-73.99717700000002,Music Choice,40.75263233072513,-73.9945851381405,Music Venue
4,10001,40.750633,-73.99717700000002,B&H Photo Video,40.75327707821823,-73.9964696920619,Camera Store
5,10001,40.750633,-73.99717700000002,Madison Square Garden,40.75075196505169,-73.99354219436646,Basketball Stadium
6,10001,40.750633,-73.99717700000002,Panda Express,40.750300549985134,-73.99470718702347,Chinese Restaurant
7,10001,40.750633,-73.99717700000002,Magnet Theater,40.748703,-73.995415,Indie Theater
8,10001,40.750633,-73.99717700000002,Hulu Theater,40.750923181108604,-73.99407910561577,Music Venue
9,10001,40.750633,-73.99717700000002,Chirp,40.7533765410883,-73.99611647747534,Peruvian Restaurant
10,10001,40.750633,-73.99717700000002,Magnolia Bakery,40.750963,-73.993576,Bakery
11,10001,40.750633,-73.99717700000002,Midtown Tennis Club,40.74753954512485,-73.9969235108266,Tennis Court
12,10001,40.750633,-73.99717700000002,Sam Ash Music,40.75286219197526,-73.99511420809027,Music Store
13,10001,40.750633,-73.99717700000002,Renzo Gracie Academy,40.748975450528924,-73.99367798722173,Boxing Gym
14,10001,40.750633,-73.99717700000002,Delta Sky360° Club,40.75056410809063,-73.99282357901902,Lounge
15,10001,40.750633,-73.99717700000002,Ken & Dana Design,40.749316,-73.993933,Jewelry Store
16,10001,40.750633,-73.99717700000002,Muji,40.7538399579729,-73.99995618289434,Furniture / Home Store
17,10001,40.750633,-73.99717700000002,Krispy Kreme Doughnuts,40.74999,-73.992149,Donut Shop
18,10001,40.750633,-73.99717700000002,Marcelo Garcia Brazilian Jiu-Jitsu Academy,40.746564671484286,-73.99627474151909,Martial Arts Dojo
19,10001,40.750633,-73.99717700000002,Penn Sushi,40.750085490425846,-73.99309158325195,Sushi Restaurant
20,10001,40.750633,-73.99717700000002,Billymark's West,40.75021898192345,-73.99853097577707,Dive Bar
21,10001,40.750633,-73.99717700000002,Sergimmo Salumeria,40.754388185280874,-73.99564194904139,Italian Restaurant
22,10001,40.750633,-73.99717700000002,Taco Bell Cantina,40.75298858903024,-73.9929354812896,Fast Food Restaurant
23,10001,40.750633,-73.99717700000002,Chelsea Park Barbers,40.74695218240739,-73.99652365509736,Health & Beauty Service
24,10001,40.750633,-73.99717700000002,Bungalow 5 Showroom,40.749573338859186,-73.99283097040066,Furniture / Home Store
25,10001,40.750633,-73.99717700000002,Wyndham New Yorker,40.75259643598074,-73.99364588566934,Hotel
26,10001,40.750633,-73.99717700000002,Brooklyn Bagel & Coffee Co.,40.746236606826656,-73.99793054220713,Bagel Shop
27,10001,40.750633,-73.99717700000002,Piel Canela Dancers,40.75308264674105,-73.99279678677793,Dance Studio
28,10001,40.750633,-73.99717700000002,Porteño,40.75044311178734,-74.00240689516068,Argentinian Restaurant
29,10001,40.750633,-73.99717700000002,Church of St. John,40.74917539216923,-73.99284058295224,Church
30,10001,40.750633,-73.99717700000002,The Tank,40.75359586395872,-73.99338763824774,Indie Theater
31,10001,40.750633,-73.99717700000002,Il Piccolo Ristoro,40.750438,-74.00255899999999,Café
32,10001,40.750633,-73.99717700000002,Sullivan Street Bakery,40.747333284664066,-74.00058684221442,Bakery
33,10001,40.750633,-73.99717700000002,The Cinnamon Snail,40.75058107960082,-73.99164120467773,Vegetarian / Vegan Restaurant
34,10001,40.750633,-73.99717700000002,The National Opera Center,40.74764376278695,-73.9931058032815,Performing Arts Venue
35,10001,40.750633,-73.99717700000002,Fly Fitness NYC,40.7540702819824,-73.9945068359375,Gym / Fitness Center
36,10001,40.750633,-73.99717700000002,Banana Skirt Productions,40.75312396158932,-73.99279318487248,Dance Studio
37,10001,40.750633,-73.99717700000002,Joel Salsa NY,40.75331376823296,-73.9927203963131,Dance Studio
38,10001,40.750633,-73.99717700000002,Martinez Handmade Cigars,40.74776908936027,-73.9926847838664,Smoke Shop
39,10001,40.750633,-73.99717700000002,Sprinkles Cupcakes (Kiosk),40.750058,-73.991504,Cupcake Shop
40,10001,40.750633,-73.99717700000002,The Spur on the High Line,40.752051,-74.000987,Park
41,10001,40.750633,-73.99717700000002,Pearl Studios,40.75314083576866,-73.99282594888213,Dance Studio
42,10001,40.750633,-73.99717700000002,Foxy Fitness and Pole,40.74843014154783,-73.99233772770262,Gym / Fitness Center
43,10001,40.750633,-73.99717700000002,Chelsea Park,40.75031094028699,-74.0014496409983,Park
44,10001,40.750633,-73.99717700000002,sweetgreen,40.7487731,-73.99253,Salad Place
45,10001,40.750633,-73.99717700000002,Smash Studios NYC,40.753744192439534,-73.99290629754076,Music Venue
46,10001,40.750633,-73.99717700000002,Shake Shack,40.750954417203445,-73.99127483494439,Burger Joint
47,10001,40.750633,-73.99717700000002,Lombardi’s,40.74634731021311,-73.9976123069835,Pizza Place
48,10001,40.750633,-73.99717700000002,Lenwich,40.75065162944501,-73.9916315465585,Deli / Bodega
49,10001,40.750633,-73.99717700000002,Crossfit Hell's Kitchen,40.75385542742043,-73.99338177687183,Gym
50,10001,40.750633,-73.99717700000002,Chelsea Fine Foods,40.74658073409234,-73.99741804607106,Restaurant
51,10001,40.750633,-73.99717700000002,CVS pharmacy,40.75207144056197,-73.993602233955,Pharmacy
